#      time  integrated_mags
#     [Myr]    [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]
   364.0000    -4.71  -4.41  -4.50  -4.57  -4.61  -4.71  -3.12  -3.85  -4.67  -4.50  -4.31  -4.16  -4.14  -8.80  -7.22  -8.96  -6.32  -7.27
   510.0000    -4.55  -3.90  -4.13  -4.28  -4.37  -4.55  -2.66  -3.49  -4.41  -4.29  -4.13  -4.01  -3.99  -8.58  -7.05  -8.70  -5.05  -6.67
   221.0000    -5.18  -5.54  -5.42  -5.19  -5.16  -5.18  -4.19  -4.68  -5.26  -5.02  -4.78  -4.61  -4.56  -9.35  -7.70  -9.55  -8.12  -8.54
   996.0000    -4.07  -2.56  -3.24  -3.38  -3.68  -4.07  -1.51  -2.55  -3.61  -3.69  -3.64  -3.56  -3.54  -7.93  -6.55  -7.96  -0.34  -4.96
   344.0000    -4.72  -4.47  -4.54  -4.58  -4.62  -4.72  -3.18  -3.88  -4.69  -4.51  -4.31  -4.17  -4.14  -8.81  -7.23  -8.97  -6.46  -7.35
    93.0000    -5.75  -6.79  -6.51  -5.90  -5.82  -5.75  -5.39  -5.63  -5.95  -5.65  -5.36  -5.15  -5.07 -10.00  -8.28 -10.25  -9.57  -9.83
   801.0000    -4.27  -3.02  -3.54  -3.74  -3.96  -4.27  -1.90  -2.89  -3.93  -3.94  -3.85  -3.75  -3.74  -8.19  -6.75  -8.26  -1.83  -5.56
   708.0000    -4.43  -3.33  -3.77  -3.99  -4.16  -4.43  -2.17  -3.13  -4.15  -4.12  -4.01  -3.91  -3.89  -8.38  -6.92  -8.47  -2.79  -5.94
   274.0000    -5.03  -5.08  -5.05  -4.98  -4.97  -5.03  -3.76  -4.37  -5.06  -4.85  -4.62  -4.46  -4.42  -9.16  -7.54  -9.34  -7.40  -8.02
   585.0000    -4.46  -3.64  -3.94  -4.12  -4.24  -4.46  -2.43  -3.31  -4.26  -4.18  -4.05  -3.93  -3.92  -8.46  -6.96  -8.57  -4.18  -6.35
   920.0000    -4.15  -2.73  -3.35  -3.52  -3.79  -4.15  -1.65  -2.68  -3.73  -3.79  -3.73  -3.64  -3.62  -8.03  -6.63  -8.08  -0.83  -5.17
   610.0000    -4.50  -3.63  -3.96  -4.16  -4.28  -4.50  -2.43  -3.33  -4.30  -4.22  -4.09  -3.98  -3.96  -8.49  -7.00  -8.60  -3.99  -6.33
   637.0000    -4.48  -3.53  -3.89  -4.10  -4.24  -4.48  -2.34  -3.26  -4.25  -4.18  -4.06  -3.95  -3.94  -8.46  -6.97  -8.56  -3.60  -6.20
   573.0000    -4.45  -3.67  -3.96  -4.13  -4.24  -4.45  -2.45  -3.32  -4.26  -4.18  -4.04  -3.92  -3.91  -8.45  -6.95  -8.57  -4.42  -6.40
    61.0000    -5.69  -6.97  -6.61  -5.88  -5.78  -5.69  -5.55  -5.68  -5.92  -5.61  -5.31  -5.08  -5.00  -9.96  -8.22 -10.23  -9.88 -10.05
     0.0000      Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf    Inf
   716.0000    -4.44  -3.33  -3.77  -3.99  -4.17  -4.44  -2.17  -3.14  -4.16  -4.13  -4.02  -3.92  -3.91  -8.39  -6.93  -8.48  -2.73  -5.93
   455.0000    -4.61  -4.08  -4.26  -4.40  -4.47  -4.62  -2.82  -3.63  -4.52  -4.38  -4.20  -4.07  -4.05  -8.67  -7.12  -8.81  -5.54  -6.88
