# Teff logg metallicity alpha specname
5750 0.00 -1.50 0.0 05750_p0.0_m1.5_p00.spec
5750 0.50 -1.50 0.0 05750_p0.5_m1.5_p00.spec
5750 1.00 -1.50 0.0 05750_p1.0_m1.5_p00.spec
5750 1.50 -1.50 0.0 05750_p1.5_m1.5_p00.spec
5750 2.00 -1.50 0.0 05750_p2.0_m1.5_p00.spec
5750 2.50 -1.50 0.0 05750_p2.5_m1.5_p00.spec
5750 3.00 -1.50 0.0 05750_p3.0_m1.5_p00.spec
5750 3.50 -1.50 0.0 05750_p3.5_m1.5_p00.spec
5750 4.00 -1.50 0.0 05750_p4.0_m1.5_p00.spec
5750 4.50 -1.50 0.0 05750_p4.5_m1.5_p00.spec
5750 5.00 -1.50 0.0 05750_p5.0_m1.5_p00.spec
6000 0.00 -1.50 0.0 06000_p0.0_m1.5_p00.spec
6000 0.50 -1.50 0.0 06000_p0.5_m1.5_p00.spec
6000 1.00 -1.50 0.0 06000_p1.0_m1.5_p00.spec
6000 1.50 -1.50 0.0 06000_p1.5_m1.5_p00.spec
6000 2.00 -1.50 0.0 06000_p2.0_m1.5_p00.spec
6000 2.50 -1.50 0.0 06000_p2.5_m1.5_p00.spec
6000 3.00 -1.50 0.0 06000_p3.0_m1.5_p00.spec
6000 3.50 -1.50 0.0 06000_p3.5_m1.5_p00.spec
6000 4.00 -1.50 0.0 06000_p4.0_m1.5_p00.spec
6000 4.50 -1.50 0.0 06000_p4.5_m1.5_p00.spec
6000 5.00 -1.50 0.0 06000_p5.0_m1.5_p00.spec
6250 0.50 -1.50 0.0 06250_p0.5_m1.5_p00.spec
6250 1.00 -1.50 0.0 06250_p1.0_m1.5_p00.spec
6250 1.50 -1.50 0.0 06250_p1.5_m1.5_p00.spec
6250 2.00 -1.50 0.0 06250_p2.0_m1.5_p00.spec
6250 2.50 -1.50 0.0 06250_p2.5_m1.5_p00.spec
6250 3.00 -1.50 0.0 06250_p3.0_m1.5_p00.spec
6250 3.50 -1.50 0.0 06250_p3.5_m1.5_p00.spec
6250 4.00 -1.50 0.0 06250_p4.0_m1.5_p00.spec
6250 4.50 -1.50 0.0 06250_p4.5_m1.5_p00.spec
6250 5.00 -1.50 0.0 06250_p5.0_m1.5_p00.spec
6500 0.50 -1.50 0.0 06500_p0.5_m1.5_p00.spec
6500 1.00 -1.50 0.0 06500_p1.0_m1.5_p00.spec
6500 1.50 -1.50 0.0 06500_p1.5_m1.5_p00.spec
6500 2.00 -1.50 0.0 06500_p2.0_m1.5_p00.spec
6500 2.50 -1.50 0.0 06500_p2.5_m1.5_p00.spec
6500 3.00 -1.50 0.0 06500_p3.0_m1.5_p00.spec
6500 3.50 -1.50 0.0 06500_p3.5_m1.5_p00.spec
6500 4.00 -1.50 0.0 06500_p4.0_m1.5_p00.spec
6500 4.50 -1.50 0.0 06500_p4.5_m1.5_p00.spec
6500 5.00 -1.50 0.0 06500_p5.0_m1.5_p00.spec
6750 0.50 -1.50 0.0 06750_p0.5_m1.5_p00.spec
6750 1.00 -1.50 0.0 06750_p1.0_m1.5_p00.spec
6750 1.50 -1.50 0.0 06750_p1.5_m1.5_p00.spec
6750 2.00 -1.50 0.0 06750_p2.0_m1.5_p00.spec
6750 2.50 -1.50 0.0 06750_p2.5_m1.5_p00.spec
6750 3.00 -1.50 0.0 06750_p3.0_m1.5_p00.spec
6750 3.50 -1.50 0.0 06750_p3.5_m1.5_p00.spec
6750 4.00 -1.50 0.0 06750_p4.0_m1.5_p00.spec
6750 4.50 -1.50 0.0 06750_p4.5_m1.5_p00.spec
6750 5.00 -1.50 0.0 06750_p5.0_m1.5_p00.spec
7000 0.50 -1.50 0.0 07000_p0.5_m1.5_p00.spec
7000 1.00 -1.50 0.0 07000_p1.0_m1.5_p00.spec
7000 1.50 -1.50 0.0 07000_p1.5_m1.5_p00.spec
7000 2.00 -1.50 0.0 07000_p2.0_m1.5_p00.spec
7000 2.50 -1.50 0.0 07000_p2.5_m1.5_p00.spec
7000 3.00 -1.50 0.0 07000_p3.0_m1.5_p00.spec
7000 3.50 -1.50 0.0 07000_p3.5_m1.5_p00.spec
7000 4.00 -1.50 0.0 07000_p4.0_m1.5_p00.spec
7000 4.50 -1.50 0.0 07000_p4.5_m1.5_p00.spec
7000 5.00 -1.50 0.0 07000_p5.0_m1.5_p00.spec
7250 0.50 -1.50 0.0 07250_p0.5_m1.5_p00.spec
7250 1.00 -1.50 0.0 07250_p1.0_m1.5_p00.spec
7250 1.50 -1.50 0.0 07250_p1.5_m1.5_p00.spec
7250 2.00 -1.50 0.0 07250_p2.0_m1.5_p00.spec
7250 2.50 -1.50 0.0 07250_p2.5_m1.5_p00.spec
7250 3.00 -1.50 0.0 07250_p3.0_m1.5_p00.spec
7250 3.50 -1.50 0.0 07250_p3.5_m1.5_p00.spec
7250 4.00 -1.50 0.0 07250_p4.0_m1.5_p00.spec
7250 4.50 -1.50 0.0 07250_p4.5_m1.5_p00.spec
7250 5.00 -1.50 0.0 07250_p5.0_m1.5_p00.spec
7500 0.50 -1.50 0.0 07500_p0.5_m1.5_p00.spec
7500 1.00 -1.50 0.0 07500_p1.0_m1.5_p00.spec
7500 1.50 -1.50 0.0 07500_p1.5_m1.5_p00.spec
7500 2.00 -1.50 0.0 07500_p2.0_m1.5_p00.spec
7500 2.50 -1.50 0.0 07500_p2.5_m1.5_p00.spec
7500 3.00 -1.50 0.0 07500_p3.0_m1.5_p00.spec
7500 3.50 -1.50 0.0 07500_p3.5_m1.5_p00.spec
7500 4.00 -1.50 0.0 07500_p4.0_m1.5_p00.spec
7500 4.50 -1.50 0.0 07500_p4.5_m1.5_p00.spec
7500 5.00 -1.50 0.0 07500_p5.0_m1.5_p00.spec
7750 1.00 -1.50 0.0 07750_p1.0_m1.5_p00.spec
7750 1.50 -1.50 0.0 07750_p1.5_m1.5_p00.spec
7750 2.00 -1.50 0.0 07750_p2.0_m1.5_p00.spec
7750 2.50 -1.50 0.0 07750_p2.5_m1.5_p00.spec
7750 3.00 -1.50 0.0 07750_p3.0_m1.5_p00.spec
7750 3.50 -1.50 0.0 07750_p3.5_m1.5_p00.spec
7750 4.00 -1.50 0.0 07750_p4.0_m1.5_p00.spec
7750 4.50 -1.50 0.0 07750_p4.5_m1.5_p00.spec
7750 5.00 -1.50 0.0 07750_p5.0_m1.5_p00.spec
8000 1.00 -1.50 0.0 08000_p1.0_m1.5_p00.spec
8000 1.50 -1.50 0.0 08000_p1.5_m1.5_p00.spec
8000 2.00 -1.50 0.0 08000_p2.0_m1.5_p00.spec
8000 2.50 -1.50 0.0 08000_p2.5_m1.5_p00.spec
8000 3.00 -1.50 0.0 08000_p3.0_m1.5_p00.spec
8000 3.50 -1.50 0.0 08000_p3.5_m1.5_p00.spec
8000 4.00 -1.50 0.0 08000_p4.0_m1.5_p00.spec
8000 4.50 -1.50 0.0 08000_p4.5_m1.5_p00.spec
8000 5.00 -1.50 0.0 08000_p5.0_m1.5_p00.spec
8250 1.50 -1.50 0.0 08250_p1.5_m1.5_p00.spec
8250 2.00 -1.50 0.0 08250_p2.0_m1.5_p00.spec
8250 2.50 -1.50 0.0 08250_p2.5_m1.5_p00.spec
8250 3.00 -1.50 0.0 08250_p3.0_m1.5_p00.spec
8250 3.50 -1.50 0.0 08250_p3.5_m1.5_p00.spec
8250 4.00 -1.50 0.0 08250_p4.0_m1.5_p00.spec
8250 4.50 -1.50 0.0 08250_p4.5_m1.5_p00.spec
8250 5.00 -1.50 0.0 08250_p5.0_m1.5_p00.spec
8500 1.50 -1.50 0.0 08500_p1.5_m1.5_p00.spec
8500 2.00 -1.50 0.0 08500_p2.0_m1.5_p00.spec
8500 2.50 -1.50 0.0 08500_p2.5_m1.5_p00.spec
8500 3.00 -1.50 0.0 08500_p3.0_m1.5_p00.spec
8500 3.50 -1.50 0.0 08500_p3.5_m1.5_p00.spec
8500 4.00 -1.50 0.0 08500_p4.0_m1.5_p00.spec
8500 4.50 -1.50 0.0 08500_p4.5_m1.5_p00.spec
8500 5.00 -1.50 0.0 08500_p5.0_m1.5_p00.spec
8750 2.00 -1.50 0.0 08750_p2.0_m1.5_p00.spec
